# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
4.900000000000000000e+01,9.222795486450195312e+00,9.402529716491699219e+00,1.241586878895759583e-01,4.993092641234397888e-02,1.530474517494440079e-02,2.575362682342529297e+00,8.743624687194824219e+00
5.500000000000000000e+01,9.452429771423339844e+00,9.590405464172363281e+00,3.114898204803466797e-01,1.477227360010147095e-01,1.535956747829914093e-02,3.285012722015380859e+00,1.077458381652832031e+01
5.800000000000000000e+01,9.776448249816894531e+00,7.896771430969238281e+00,2.582958340644836426e-02,2.167415060102939606e-02,4.009756073355674744e-02,4.100830554962158203e+00,3.635932683944702148e+00
5.900000000000000000e+01,9.471772193908691406e+00,9.216537475585937500e+00,1.333848834037780762e-01,7.184665650129318237e-02,1.884018257260322571e-02,2.567491769790649414e+00,8.949604988098144531e+00
6.400000000000000000e+01,9.502014160156250000e+00,7.220462799072265625e+00,2.002104884013533592e-04,2.002104884013533592e-04,3.716472163796424866e-02,5.280111789703369141e+00,2.713904619216918945e+00
6.800000000000000000e+01,9.227705001831054688e+00,8.568347930908203125e+00,3.973332792520523071e-02,2.735503390431404114e-02,1.921420171856880188e-02,1.420253276824951172e+00,3.304594516754150391e+00
7.200000000000000000e+01,9.020082473754882812e+00,8.464838981628417969e+00,1.877641677856445312e-02,1.836078055202960968e-02,1.125320326536893845e-02,2.445260286331176758e+00,6.600813865661621094e+00
7.900000000000000000e+01,9.168648719787597656e+00,9.279500961303710938e+00,2.943299412727355957e-01,2.788702845573425293e-01,1.889645121991634369e-02,4.625200927257537842e-01,1.121727561950683594e+01
6.905300000000000000e+04,1.218606090545654297e+01,1.301793384552001953e+01,2.561450576782226562e+01,2.207527351379394531e+01,2.521332353353500366e-02,1.163286685943603516e+01,4.979271850585937500e+02
6.905400000000000000e+04,1.152556037902832031e+01,1.052527618408203125e+01,1.500825977325439453e+01,5.327054977416992188e+00,3.511463850736618042e-02,1.059183120727539062e+01,1.558818817138671875e+01
6.905500000000000000e+04,1.141660499572753906e+01,1.011773204803466797e+01,4.804176807403564453e+00,2.760557651519775391e+00,2.642461471259593964e-02,9.088058471679687500e+00,1.027788829803466797e+01
6.905600000000000000e+04,1.094962406158447266e+01,1.071073913574218750e+01,2.808125972747802734e+00,8.469571173191070557e-02,2.502296306192874908e-02,1.001515960693359375e+01,4.119519042968750000e+01
