galaxy_id	los	IOB1	IOB2	IOB3	IOB4	IOB5	IOB6	IOB7	IOB8	A_1000A	A_1047A	A_1096A	A_1148A	A_1203A	A_1260A	A_1320A	A_1382A	A_1448A	A_1516A	A_1588A	A_1663A	A_1742A	A_1825A	A_1911A	A_2002A	A_2097A	A_2196A	A_2300A	A_2409A	A_2523A	A_2643A	A_2768A	A_2899A	A_3036A	A_3180A	A_3331A	A_3489A	A_3654A	A_3827A	A_4008A	A_4198A	A_4397A	A_4605A	A_4824A	A_5052A	A_5291A	A_5542A	A_5805A	A_6080A	A_6368A	A_6669A	A_6985A	A_7316A	A_7663A	A_8026A	A_8406A	A_8804A	A_9221A	A_9658A	galaxy_id	logMstar [Msun]	logMgas [Msun]	SFR [Msun/yr]	SFR_compact [Msun/yr]	Zgas [mass fraction]	Rstar [kpc]	Rgas [kpc]	logMdust [Msun]	Sigma_SFR [Msun/yr/kpc^2]	sSFR [1/yr]
507377.000000	0.000000	-0.024054	0.033380	0.003440	-0.005082	-0.002652	-0.003917	0.000755	-0.001548	1.899289	2.050608	1.978917	1.940941	1.833089	1.914109	1.905992	1.843348	1.821599	1.746362	1.727317	1.744389	1.723252	1.715058	1.708781	1.790984	1.822683	1.843483	1.756363	1.681574	1.597660	1.421634	1.377382	1.252501	1.177351	1.102675	1.003408	0.930256	0.849775	0.847225	0.731112	0.688977	0.640179	0.577988	0.537222	0.503649	0.471372	0.438311	0.411040	0.386436	0.361932	0.341678	0.325393	0.309474	0.295011	0.284252	0.275391	0.271148	0.258112	0.252751	507377.000000	10.328247	10.961614	2.332709	1.732849	0.022671	5.578878	77.986931	7.864873	0.023857	0.225857
47586.000000	46.000000	0.024094	-0.035846	0.014640	0.006243	0.006323	-0.006955	-0.000509	-0.001488	2.400672	2.247140	2.112764	1.992538	1.932034	1.768890	1.641055	1.562240	1.485842	1.435859	1.356354	1.300131	1.251843	1.211583	1.220588	1.259255	1.247584	1.206643	1.079374	1.024783	0.925750	0.644254	0.607243	0.506927	0.465529	0.429722	0.391548	0.366488	0.342940	0.329820	0.308308	0.291572	0.276348	0.260748	0.245591	0.230768	0.219375	0.206717	0.196091	0.185143	0.174035	0.164683	0.156239	0.146877	0.139204	0.132007	0.124967	0.118203	0.111705	0.106172	47586.000000	10.894738	10.438777	0.329219	0.000000	0.016390	6.936011	30.612799	8.028514	0.002178	0.030218
483880.000000	9.000000	-0.003155	0.013887	0.007111	-0.015333	0.005509	-0.004506	0.000046	-0.001505	3.036665	2.974309	2.822798	2.727696	2.840898	2.554488	2.436532	2.331621	2.268840	2.207536	2.145591	2.121357	2.099140	2.055214	2.062858	2.112081	2.130842	2.125699	2.010074	1.928363	1.811936	1.558813	1.498900	1.329203	1.240476	1.148587	1.021980	0.940582	0.854185	0.875871	0.748521	0.703519	0.646748	0.576458	0.529235	0.493379	0.457041	0.421436	0.394163	0.367431	0.340566	0.320382	0.302886	0.284772	0.271026	0.258942	0.249931	0.244219	0.231859	0.226581	483880.000000	10.097811	9.993374	1.126820	1.080505	0.024703	3.665219	28.669561	7.244188	0.026700	0.111591
529126.000000	19.000000	-0.038574	-0.007093	-0.002390	-0.000929	0.001853	-0.000462	0.000714	-0.001246	1.305607	1.263530	1.182741	1.123162	1.065258	1.022961	0.977796	0.932268	0.900889	0.858548	0.829454	0.811710	0.797185	0.795831	0.815498	0.874755	0.937979	0.953952	0.875347	0.779902	0.706860	0.654524	0.616051	0.591221	0.568853	0.544273	0.519254	0.494584	0.472772	0.438147	0.419755	0.401013	0.386966	0.370109	0.354445	0.332795	0.319877	0.305548	0.289664	0.276864	0.262262	0.250751	0.242362	0.231917	0.222884	0.217705	0.212500	0.208221	0.201528	0.195430	529126.000000	10.148065	10.645703	1.576246	0.529667	0.023982	3.193371	74.844948	7.560501	0.049201	0.155325
677066.000000	22.000000	-0.036820	0.002181	0.001003	-0.003081	-0.000096	-0.001280	0.000731	-0.001286	1.701228	1.682664	1.607399	1.549288	1.478999	1.449157	1.401294	1.347060	1.309032	1.260419	1.228003	1.207405	1.186858	1.181744	1.200792	1.256842	1.316418	1.327766	1.247226	1.152416	1.070009	0.978173	0.935876	0.878369	0.839366	0.797446	0.750101	0.707599	0.666135	0.644765	0.599759	0.572470	0.544745	0.511942	0.487050	0.459290	0.439185	0.415454	0.394767	0.376939	0.356715	0.340221	0.325295	0.311048	0.298718	0.287637	0.277559	0.269730	0.259973	0.250256	677066.000000	9.462207	9.979330	0.309378	0.144375	0.014866	2.770838	51.027866	6.825538	0.012827	0.032696
320134.000000	12.000000	0.019040	-0.051354	0.008937	-0.021514	-0.026295	-0.009170	-0.000762	-0.001386	3.589702	3.679434	3.530209	3.286747	3.374879	3.063794	2.655116	2.435658	2.264249	2.110503	1.986525	1.965699	1.819003	1.732078	1.677107	1.716791	1.671566	1.645109	1.506237	1.475243	1.356502	0.988379	0.939675	0.812395	0.762655	0.707795	0.651001	0.607377	0.567156	0.576118	0.527387	0.500040	0.470942	0.434295	0.405323	0.381676	0.357937	0.336739	0.317071	0.298224	0.280788	0.265864	0.252049	0.238008	0.225709	0.212439	0.202316	0.193236	0.182448	0.175448	320134.000000	10.503325	9.464990	0.298621	0.258670	0.029853	3.477058	8.216573	7.651566	0.007862	0.028431
391583.000000	43.000000	-0.032996	0.017754	0.002278	-0.005081	-0.002636	-0.002462	0.000777	-0.001396	1.192651	1.261772	1.196141	1.169074	1.097941	1.118423	1.123805	1.069399	1.049469	1.009355	0.988075	0.998447	0.992114	0.980585	0.986818	1.030469	1.047736	1.065177	1.007869	0.955908	0.909886	0.830133	0.801149	0.745321	0.707527	0.670565	0.619014	0.578348	0.536642	0.506971	0.454875	0.433094	0.411991	0.382388	0.361842	0.339044	0.321154	0.302026	0.286856	0.273046	0.256454	0.243817	0.234261	0.223784	0.216646	0.210291	0.206355	0.205855	0.198948	0.196092	391583.000000	10.177932	10.748274	1.276230	0.576570	0.018467	5.159761	43.191250	7.737985	0.015259	0.125392
513003.000000	12.000000	-0.048720	-0.002719	0.001487	-0.001257	0.001100	0.000220	0.000906	-0.001164	2.323110	2.291266	2.194492	2.112953	2.016898	1.978052	1.929072	1.866292	1.821455	1.762350	1.720871	1.696832	1.676526	1.677243	1.709142	1.793310	1.885806	1.902448	1.792102	1.655566	1.548831	1.449108	1.391947	1.337288	1.293032	1.246810	1.188805	1.142734	1.097948	1.068552	1.027032	0.986668	0.950134	0.912322	0.874181	0.837293	0.805883	0.773266	0.744002	0.715948	0.683536	0.655732	0.632691	0.607553	0.584839	0.562887	0.544852	0.527357	0.507667	0.489086	513003.000000	10.341281	10.749742	2.225457	0.518863	0.018162	12.462096	45.549717	8.039937	0.004561	0.215201
516396.000000	19.000000	-0.022901	0.032612	-0.010229	0.020032	-0.005936	-0.004389	0.001159	-0.001773	0.066001	0.061623	0.062696	0.064558	0.046469	0.055943	0.059616	0.058313	0.056941	0.054947	0.052779	0.050432	0.049998	0.050109	0.052594	0.057737	0.064795	0.066174	0.058896	0.050058	0.043526	0.039941	0.037170	0.035383	0.033687	0.031725	0.029616	0.027903	0.026100	0.025037	0.023530	0.021841	0.019983	0.018525	0.017100	0.015844	0.014586	0.013362	0.012308	0.011286	0.010483	0.009795	0.009104	0.008381	0.007880	0.007381	0.006909	0.006468	0.006013	0.005670	516396.000000	10.161412	10.676764	0.036080	0.000000	0.000000	2.279734	129.010086	6.895925	0.002210	0.003551
644574.000000	17.000000	0.045140	0.040337	0.017394	-0.008921	0.014612	-0.009974	-0.000507	-0.001967	2.596010	2.583899	2.475499	2.375632	2.287148	2.235822	2.150814	2.046518	1.992190	1.900569	1.861232	1.856614	1.821811	1.797964	1.791713	1.859439	1.882459	1.885858	1.768971	1.710648	1.598344	1.278621	1.238501	1.028620	0.925854	0.833080	0.712822	0.639706	0.557533	0.581808	0.449841	0.414044	0.372841	0.323536	0.294260	0.274852	0.250788	0.228833	0.211876	0.197884	0.183219	0.171987	0.161617	0.153098	0.144466	0.139766	0.134614	0.130916	0.122207	0.119661	644574.000000	9.730350	10.099113	0.150026	0.131143	0.019819	2.784098	27.978941	7.204104	0.006161	0.015418
