galaxy_id	los	IOB1	IOB2	IOB3	IOB4	IOB5	IOB6	IOB7	IOB8	A_1000A	A_1047A	A_1096A	A_1148A	A_1203A	A_1260A	A_1320A	A_1382A	A_1448A	A_1516A	A_1588A	A_1663A	A_1742A	A_1825A	A_1911A	A_2002A	A_2097A	A_2196A	A_2300A	A_2409A	A_2523A	A_2643A	A_2768A	A_2899A	A_3036A	A_3180A	A_3331A	A_3489A	A_3654A	A_3827A	A_4008A	A_4198A	A_4397A	A_4605A	A_4824A	A_5052A	A_5291A	A_5542A	A_5805A	A_6080A	A_6368A	A_6669A	A_6985A	A_7316A	A_7663A	A_8026A	A_8406A	A_8804A	A_9221A	A_9658A	galaxy_id	logMstar [Msun]	logMgas [Msun]	SFR [Msun/yr]	SFR_compact [Msun/yr]	Zgas [mass fraction]	Rstar [kpc]	Rgas [kpc]	logMdust [Msun]	Sigma_SFR [Msun/yr/kpc^2]	sSFR [1/yr]
542766.000000	11.000000	-0.095236	-0.012465	0.000005	-0.000749	0.000224	-0.000218	0.004780	-0.002973	1.216359	1.247357	1.187341	1.145842	1.068397	1.098058	1.083866	1.035884	0.995497	0.908662	0.842504	0.780755	0.701185	0.631588	0.564103	0.520959	0.479469	0.452033	0.421023	0.394335	0.377879	0.364863	0.348537	0.336770	0.325206	0.314350	0.303303	0.289729	0.279427	0.262596	0.255579	0.245956	0.239303	0.230189	0.223890	0.213681	0.206807	0.200761	0.192999	0.186498	0.178691	0.171869	0.166667	0.159869	0.154412	0.149924	0.144406	0.141164	0.136730	0.131975	542766.000000	9.270397	9.959752	0.554033	0.205316	0.017749	1.425733	35.037865	6.726273	0.086758	0.059764
550515.000000	15.000000	-0.022048	0.010779	0.002563	0.000792	-0.000715	0.001083	0.002379	-0.001134	0.654295	0.701941	0.661372	0.645496	0.579991	0.625843	0.632665	0.598956	0.577234	0.514979	0.478102	0.445472	0.395753	0.352163	0.303729	0.281774	0.252590	0.241162	0.221153	0.207903	0.200263	0.187268	0.178419	0.169321	0.161423	0.152021	0.141947	0.132240	0.123627	0.111087	0.099714	0.094904	0.090245	0.085964	0.081438	0.077832	0.075306	0.071269	0.068855	0.066902	0.062444	0.060775	0.059602	0.057831	0.055760	0.055780	0.055241	0.055437	0.053652	0.052364	550515.000000	10.073943	10.688657	1.851032	0.551866	0.024534	5.461697	35.844219	7.746049	0.019752	0.183745
585995.000000	8.000000	-0.113633	-0.059257	-0.007287	0.003463	-0.005791	-0.002938	-0.000907	0.005985	0.905192	0.890045	0.841699	0.801852	0.755934	0.746442	0.718955	0.680352	0.636185	0.569006	0.507356	0.441611	0.372773	0.311247	0.255404	0.216211	0.186194	0.169505	0.154311	0.141912	0.136129	0.137750	0.132546	0.138146	0.138273	0.139311	0.142568	0.141120	0.145696	0.125465	0.138728	0.138192	0.142480	0.150969	0.154976	0.148827	0.152832	0.151682	0.152785	0.153221	0.148254	0.146127	0.144695	0.141456	0.136877	0.134270	0.133796	0.130477	0.131884	0.126955	585995.000000	10.118198	10.532760	1.601752	0.303405	0.017814	1.908810	70.813858	7.294221	0.139933	0.158304
795066.000000	34.000000	0.103726	0.038493	-0.014569	-0.004555	-0.005930	0.006586	0.013876	-0.000765	0.608818	0.643513	0.649390	0.761431	0.571063	0.790601	0.992471	1.028147	1.036391	0.960409	0.861277	0.726814	0.545093	0.423570	0.317370	0.254187	0.187213	0.154667	0.132199	0.122341	0.117710	0.097297	0.088881	0.089654	0.086579	0.084125	0.082263	0.077162	0.076374	0.066200	0.071805	0.068416	0.067301	0.065503	0.063355	0.059562	0.057712	0.055688	0.053493	0.051882	0.048813	0.046957	0.045199	0.042959	0.040883	0.039130	0.037839	0.037093	0.036174	0.035105	795066.000000	9.410482	8.237554	0.010064	0.010064	0.046764	2.101041	3.875414	6.376628	0.000726	0.001069
612134.000000	23.000000	-0.097310	0.002403	0.000165	-0.000229	0.000087	-0.000365	0.002929	-0.000453	2.530171	2.452642	2.364248	2.289568	2.240261	2.161962	2.097521	2.030696	1.949186	1.836932	1.707933	1.581589	1.455148	1.348644	1.255026	1.180546	1.120991	1.067504	1.018408	0.980887	0.939701	0.886718	0.856867	0.814860	0.779247	0.745372	0.706781	0.675770	0.643975	0.624841	0.586375	0.560749	0.534568	0.505460	0.480752	0.459436	0.436891	0.414500	0.393616	0.374003	0.352928	0.335268	0.317403	0.298866	0.284153	0.267870	0.252803	0.239479	0.226003	0.213922	612134.000000	9.860343	10.447656	1.449528	0.514591	0.013612	7.607184	34.418243	7.622048	0.007973	0.147006
504562.000000	32.000000	0.138106	-0.074179	0.000139	0.003507	0.000896	0.003323	-0.003655	-0.001598	0.537606	0.515858	0.481713	0.453941	0.416323	0.414071	0.398325	0.376182	0.350466	0.307214	0.269868	0.230399	0.190943	0.160701	0.132148	0.113623	0.099017	0.088694	0.079400	0.072474	0.067807	0.064260	0.060221	0.057164	0.053628	0.051040	0.047951	0.045520	0.043023	0.041336	0.039051	0.036974	0.034572	0.032922	0.031057	0.029166	0.027921	0.025976	0.024949	0.023903	0.022731	0.022023	0.021006	0.020399	0.019442	0.018790	0.017901	0.017695	0.016929	0.016400	504562.000000	9.153113	9.595464	0.231589	0.067595	0.008282	4.231992	11.709696	6.988128	0.004116	0.025302
640334.000000	13.000000	-0.083492	0.003928	0.000664	-0.000104	0.000173	-0.000121	0.002861	-0.000965	2.196108	2.160299	2.076459	2.013482	1.926253	1.918051	1.874704	1.805914	1.733109	1.623597	1.511051	1.399271	1.271273	1.164411	1.064450	0.994096	0.934380	0.884989	0.841952	0.808982	0.776934	0.726504	0.701169	0.660845	0.630003	0.600759	0.568452	0.538299	0.508272	0.492027	0.460047	0.437313	0.417045	0.396202	0.376948	0.358635	0.342073	0.326887	0.312504	0.298349	0.283566	0.269632	0.257676	0.246275	0.233579	0.223121	0.214402	0.205718	0.197134	0.187818	640334.000000	9.767833	10.171068	0.798035	0.179259	0.019120	3.430528	42.130646	7.272341	0.021585	0.081700
441850.000000	2.000000	-0.047899	-0.043338	-0.000589	-0.000035	0.001154	0.000043	0.001921	-0.001407	1.035146	0.977281	0.922900	0.871826	0.818624	0.794063	0.758780	0.721357	0.672027	0.604549	0.538119	0.466080	0.398827	0.346452	0.300506	0.270762	0.247828	0.230621	0.214774	0.199822	0.189008	0.188772	0.179047	0.179747	0.173530	0.168941	0.165583	0.159702	0.155226	0.139653	0.142623	0.136552	0.131841	0.127757	0.122335	0.115056	0.110975	0.105297	0.100217	0.094790	0.089379	0.084324	0.079808	0.074986	0.070542	0.066313	0.062563	0.058800	0.055495	0.051834	441850.000000	10.830177	10.939688	0.664748	0.000000	0.023654	5.086167	82.532661	7.891060	0.008179	0.061379
353756.000000	33.000000	0.217677	0.016107	0.003968	0.001244	0.002130	0.000834	-0.004979	0.003067	0.913340	0.916694	0.855052	0.815494	0.807543	0.766005	0.723033	0.676069	0.636407	0.575462	0.526833	0.486813	0.433042	0.380426	0.332691	0.303404	0.272214	0.253284	0.233436	0.223722	0.208846	0.181159	0.171747	0.153524	0.139409	0.127228	0.113535	0.102346	0.091398	0.082378	0.067756	0.062663	0.058559	0.053036	0.049227	0.045986	0.042499	0.040040	0.036986	0.034865	0.032581	0.030830	0.029242	0.027485	0.026398	0.024878	0.023530	0.022762	0.021748	0.020769	353756.000000	9.131399	9.852094	0.203441	0.092420	0.007015	4.975334	19.239079	7.175645	0.002616	0.022279
558652.000000	39.000000	0.045577	0.008157	0.003763	0.000393	0.001261	0.002126	0.000604	-0.000289	2.154164	2.141318	2.042561	1.968192	1.890441	1.848713	1.793806	1.713030	1.629520	1.507803	1.375286	1.249799	1.113343	0.978435	0.858861	0.770643	0.694629	0.641303	0.591444	0.567497	0.533499	0.479916	0.460841	0.419995	0.391519	0.366888	0.337883	0.313345	0.287880	0.276185	0.243731	0.230773	0.215737	0.201049	0.189444	0.178320	0.171124	0.160120	0.152837	0.145454	0.137701	0.132660	0.127859	0.122938	0.116656	0.113180	0.109452	0.108883	0.104122	0.101817	558652.000000	10.384422	10.747379	1.890146	1.232064	0.020112	3.477547	94.608940	7.437841	0.049751	0.182017
