# ids, mstar, gas_mass, sfr, sfr_compact, gas_Z, rstar, rgas
3.900000000000000000e+01,1.024747848510742188e+01,8.851002693176269531e+00,1.540739983320236206e-01,1.540739983320236206e-01,4.676717892289161682e-02,5.713367938995361328e+00,3.297060012817382812e+00
4.100000000000000000e+01,9.630972862243652344e+00,1.039455986022949219e+01,8.653404712677001953e-01,8.468022942543029785e-01,7.652450818568468094e-03,4.363276004791259766e+00,2.614082145690917969e+01
4.200000000000000000e+01,1.025586414337158203e+01,1.018363094329833984e+01,8.397089838981628418e-01,4.758668243885040283e-01,3.023841604590415955e-02,4.271725177764892578e+00,1.589346408843994141e+01
4.300000000000000000e+01,9.655105590820312500e+00,1.008775424957275391e+01,3.604009449481964111e-01,3.472183942794799805e-01,3.201995044946670532e-02,2.422220706939697266e+00,4.882775497436523438e+01
4.600000000000000000e+01,9.794540405273437500e+00,9.412817001342773438e+00,2.187766730785369873e-01,1.873926520347595215e-01,1.704776100814342499e-02,3.243504524230957031e+00,7.657192707061767578e+00
4.700000000000000000e+01,1.016386890411376953e+01,9.406850814819335938e+00,1.213731169700622559e+00,1.213731169700622559e+00,3.469368442893028259e-02,4.885881900787353516e+00,3.544059753417968750e+00
4.800000000000000000e+01,9.817792892456054688e+00,1.008692932128906250e+01,8.445165157318115234e-01,2.749261558055877686e-01,1.339742168784141541e-02,5.004455566406250000e+00,1.481053733825683594e+01
5.000000000000000000e+01,1.020856380462646484e+01,9.436514854431152344e+00,7.656275629997253418e-01,7.385410666465759277e-01,2.744082920253276825e-02,4.247294902801513672e+00,5.533286094665527344e+00
5.800000000000000000e+01,9.999375343322753906e+00,8.130264282226562500e+00,1.995174400508403778e-02,1.995174400508403778e-02,3.465272486209869385e-02,3.737297058105468750e+00,1.642119407653808594e+00
6.300000000000000000e+01,1.006021404266357422e+01,9.202180862426757812e+00,1.718207746744155884e-01,1.718207746744155884e-01,3.126021102070808411e-02,6.984872341156005859e+00,5.744361400604248047e+00
